File,Ground Truth,Prediction,Missed (FN),False Alarm (FP)
FS01_20230402_052100_3.pt,"Frog, Owl","Frog, Rain",Owl,Rain
FS01_20230402_052100_4.pt,"Frog, Owl","Frog, Rain",Owl,Rain
FS01_20230402_052100_6.pt,"Frog, Owl","Frog, Mammal, Rain",Owl,"Mammal, Rain"
FS01_20230402_052100_7.pt,"Frog, Owl","Frog, Rain",Owl,Rain
FS01_20230402_052100_8.pt,"Frog, Owl","Frog, Rain",Owl,Rain
FS01_20230402_052100_9.pt,"Frog, Owl","Frog, Mammal, Rain",Owl,"Mammal, Rain"
FS01_20230408_004200_1.pt,Frog,"Bird, Frog",,Bird
FS01_20230408_004200_4.pt,Frog,"Frog, Rain",,Rain
FS01_20230408_004200_6.pt,Frog,"Frog, Rain",,Rain
FS01_20230408_004200_7.pt,Frog,"Frog, Rain",,Rain
FS01_20230409_060000_1.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_060000_2.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_060000_3.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_060000_4.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_060000_5.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_060000_6.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_060000_7.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_060000_8.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_060000_9.pt,Bird,"Bird, Wind",,Wind
FS01_20230409_170000_1.pt,"Bird, Wind",Bird,Wind,
FS01_20230409_170000_10.pt,"Bird, Wind",Bird,Wind,
FS01_20230409_170000_3.pt,"Bird, Wind",Bird,Wind,
FS01_20230409_170000_4.pt,"Bird, Wind",,"Bird, Wind",
FS01_20230409_170000_5.pt,"Bird, Wind",Bird,Wind,
FS01_20230409_170000_6.pt,"Bird, Wind",Bird,Wind,
FS01_20230409_170000_7.pt,"Bird, Wind",Bird,Wind,
FS01_20230409_170000_8.pt,"Bird, Wind",Bird,Wind,
FS01_20230409_170000_9.pt,"Bird, Wind",Bird,Wind,
FS01_20230409_230000_1.pt,"Bird, Owl",Bird,Owl,
FS01_20230409_230000_10.pt,"Bird, Owl","Frog, Owl",Bird,Frog
FS01_20230409_230000_2.pt,"Bird, Owl","Bird, Frog",Owl,Frog
FS01_20230409_230000_4.pt,"Bird, Owl","Bird, Frog, Owl",,Frog
FS01_20230409_230000_5.pt,"Bird, Owl","Frog, Owl",Bird,Frog
FS01_20230409_230000_6.pt,"Bird, Owl",Bird,Owl,
FS01_20230409_230000_7.pt,"Bird, Owl",Frog,"Bird, Owl",Frog
FS01_20230409_230000_8.pt,"Bird, Owl","Frog, Mammal","Bird, Owl","Frog, Mammal"
FS01_20230409_230000_9.pt,"Bird, Owl",Owl,Bird,
FS01_20230422_063600_1.pt,"Frog, Rain","Bird, Rain",Frog,Bird
FS01_20230422_063600_10.pt,"Frog, Rain",Rain,Frog,
FS01_20230422_063600_2.pt,"Frog, Rain",Rain,Frog,
FS01_20230422_063600_3.pt,"Frog, Rain","Bird, Rain",Frog,Bird
FS01_20230422_063600_4.pt,"Frog, Rain","Bird, Rain",Frog,Bird
FS01_20230422_063600_5.pt,"Frog, Rain","Bird, Rain",Frog,Bird
FS01_20230422_063600_7.pt,"Frog, Rain","Bird, Rain",Frog,Bird
FS01_20230424_015400_3.pt,Frog,"Frog, Insect",,Insect
FS01_20230424_015400_8.pt,Frog,"Frog, Rain",,Rain
FS01_20230503_043300_1.pt,"Frog, Insect, Rain",Frog,"Insect, Rain",
FS01_20230503_043300_10.pt,"Frog, Insect, Rain",Frog,"Insect, Rain",
FS01_20230503_043300_2.pt,"Frog, Insect, Rain",Frog,"Insect, Rain",
FS01_20230503_043300_3.pt,"Frog, Insect, Rain","Frog, Insect",Rain,
FS01_20230503_043300_4.pt,"Frog, Insect, Rain",Frog,"Insect, Rain",
FS01_20230503_043300_5.pt,"Frog, Insect, Rain","Frog, Rain",Insect,
FS01_20230503_043300_6.pt,"Frog, Insect, Rain",Frog,"Insect, Rain",
FS01_20230503_043300_7.pt,"Frog, Insect, Rain",Frog,"Insect, Rain",
FS01_20230503_043300_8.pt,"Frog, Insect, Rain",Frog,"Insect, Rain",
FS01_20230503_043300_9.pt,"Frog, Insect, Rain","Frog, Rain",Insect,
FS01_20230511_020000_3.pt,"Frog, Insect","Frog, Insect, Rain",,Rain
FS01_20230512_174200_2.pt,"Frog, Insect","Bird, Frog, Insect",,Bird
FS01_20230512_174200_3.pt,"Frog, Insect",Insect,Frog,
FS01_20230512_174200_5.pt,"Frog, Insect",Insect,Frog,
FS01_20230512_174200_7.pt,"Frog, Insect",Insect,Frog,
FS01_20230512_174200_8.pt,"Frog, Insect","Bird, Insect",Frog,Bird
FS01_20230516_090000_1.pt,"Bird, Cicada, Wind","Bird, Wind",Cicada,
FS01_20230516_090000_10.pt,"Bird, Cicada, Wind","Bird, Wind",Cicada,
FS01_20230516_090000_2.pt,"Bird, Cicada, Wind","Bird, Wind",Cicada,
FS01_20230516_090000_3.pt,"Bird, Cicada, Wind","Bird, Wind",Cicada,
FS01_20230516_090000_4.pt,"Bird, Cicada, Wind","Bird, Wind",Cicada,
FS01_20230516_090000_8.pt,"Bird, Cicada, Wind","Bird, Wind",Cicada,
FS01_20230517_070000_1.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_10.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_2.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_3.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_4.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_5.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_6.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_7.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_8.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_070000_9.pt,Bird,"Bird, Insect",,Insect
FS01_20230517_132700_1.pt,"Insect, Speech, Wind","Speech, Wind",Insect,
FS01_20230517_132700_10.pt,"Insect, Speech, Wind","Insect, Speech",Wind,
FS01_20230517_132700_2.pt,"Insect, Speech, Wind","Speech, Wind",Insect,
FS01_20230517_132700_3.pt,"Insect, Speech, Wind","Speech, Wind",Insect,
FS01_20230517_132700_4.pt,"Insect, Speech, Wind","Speech, Wind",Insect,
FS01_20230517_132700_5.pt,"Insect, Speech, Wind","Speech, Wind",Insect,
FS01_20230517_132700_6.pt,"Insect, Speech, Wind","Speech, Wind",Insect,
FS01_20230517_132700_7.pt,"Insect, Speech, Wind","Speech, Wind",Insect,
FS01_20230517_132700_9.pt,"Insect, Speech, Wind","Speech, Wind",Insect,
FS01_20230517_160000_1.pt,"Bird, Insect",Insect,Bird,
FS01_20230517_160000_4.pt,"Bird, Insect",Insect,Bird,
FS01_20230517_160000_7.pt,"Bird, Insect",Insect,Bird,
FS01_20230517_180000_1.pt,"Bird, Frog, Insect","Bird, Insect",Frog,
FS01_20230517_180000_10.pt,"Bird, Frog, Insect",Insect,"Bird, Frog",
FS01_20230517_180000_2.pt,"Bird, Frog, Insect",Insect,"Bird, Frog",
FS01_20230517_180000_3.pt,"Bird, Frog, Insect",Insect,"Bird, Frog",
FS01_20230517_180000_4.pt,"Bird, Frog, Insect","Frog, Insect",Bird,
FS01_20230517_180000_5.pt,"Bird, Frog, Insect","Bird, Insect",Frog,
FS01_20230517_180000_6.pt,"Bird, Frog, Insect",Insect,"Bird, Frog",
FS01_20230517_180000_7.pt,"Bird, Frog, Insect","Frog, Insect",Bird,
FS01_20230517_180000_8.pt,"Bird, Frog, Insect","Bird, Insect",Frog,
FS01_20230517_180000_9.pt,"Bird, Frog, Insect","Frog, Insect",Bird,
FS01_20230525_155100_1.pt,"Cicada, Frog, Wind","Cicada, Frog",Wind,
FS01_20230525_155100_10.pt,"Cicada, Frog, Wind","Cicada, Frog",Wind,
FS01_20230525_155100_2.pt,"Cicada, Frog, Wind","Cicada, Frog, Insect",Wind,Insect
FS01_20230525_155100_3.pt,"Cicada, Frog, Wind",Insect,"Cicada, Frog, Wind",Insect
FS01_20230525_155100_4.pt,"Cicada, Frog, Wind","Cicada, Frog, Insect",Wind,Insect
FS01_20230525_155100_5.pt,"Cicada, Frog, Wind","Frog, Insect, Wind",Cicada,Insect
FS01_20230525_155100_6.pt,"Cicada, Frog, Wind","Cicada, Frog, Insect",Wind,Insect
FS01_20230525_155100_7.pt,"Cicada, Frog, Wind","Bird, Cicada","Frog, Wind",Bird
FS01_20230525_155100_8.pt,"Cicada, Frog, Wind","Cicada, Frog",Wind,
